[ 2024-02-25 17:57:13,898 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2024-02-25 17:57:13,898 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2024-02-25 17:57:14,843 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2024-02-25 17:57:14,843 ] 224 werkzeug - INFO -  * Debugger PIN: 935-135-885
[ 2024-02-25 17:57:33,070 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:57:33] "GET / HTTP/1.1" 200 -
[ 2024-02-25 17:57:33,115 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:57:33] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[ 2024-02-25 17:57:36,310 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:57:36] "GET /predict HTTP/1.1" 200 -
[ 2024-02-25 17:57:36,324 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:57:36] "[33mGET /assests/photo.jpg HTTP/1.1[0m" 404 -
[ 2024-02-25 17:57:36,336 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:57:36] "[33mGET /assets/diamond_video.mp4 HTTP/1.1[0m" 404 -
[ 2024-02-25 17:58:09,984 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\kesha\\anaconda3\\Lib\\site-packages\\flask\\app.py', reloading
[ 2024-02-25 17:58:09,993 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:58:09] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2024-02-25 17:58:10,150 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:58:10] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2024-02-25 17:58:10,153 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:58:10] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2024-02-25 17:58:10,225 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:58:10] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2024-02-25 17:58:10,239 ] 224 werkzeug - INFO - 127.0.0.1 - - [25/Feb/2024 17:58:10] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
